date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:39:03	54339/54339	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-hotel.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-hotel.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:03	50171/50171	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-attraction.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-attraction.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:04	60089/60089	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-flight.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-flight.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:05	60125/60125	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-train.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-train.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:06	59694/59694	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-list-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-list-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:06	53570/53570	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-grid-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-grid-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:06	56230/56230	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-trip-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-trip-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:07	54463/54463	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-hotel-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-hotel-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:07	50174/50174	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-attraction-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-attraction-dark.html	(from https://envato.megadrupal.com/html/gofar/)
08:39:08	60208/60208	---MCZ	200	added ('OK')	text/html	date:Mon,%2022%20Jul%202019%2015:47:40%20GMT	https://envato.megadrupal.com/html/gofar/destinations-flight-dark.html	D:/duan123/envato.megadrupal.com/html/gofar/destinations-flight-dark.html	(from https://envato.megadrupal.com/html/gofar/)
